uid,eventType,datetime,home_stay
u31,HomeMobility,2013-04-01 21:18:07,False
u31,HomeMobility,2013-04-01 21:38:07,False
u31,HomeMobility,2013-04-01 21:58:07,False
u31,HomeMobility,2013-04-01 22:18:07,False
u31,HomeMobility,2013-04-01 22:38:07,False
u31,HomeMobility,2013-04-01 22:58:07,False
u31,HomeMobility,2013-04-01 23:18:07,False
u31,HomeMobility,2013-04-01 23:38:07,False
u31,HomeMobility,2013-04-01 23:58:07,False
u31,HomeMobility,2013-04-02 00:18:07,False
u31,HomeMobility,2013-04-02 00:38:07,False
u31,HomeMobility,2013-04-02 00:52:44,False
u31,HomeMobility,2013-04-02 01:18:11,True
u31,HomeMobility,2013-04-02 01:38:11,True
u31,HomeMobility,2013-04-02 01:58:11,True
u31,HomeMobility,2013-04-02 02:16:10,True
u31,HomeMobility,2013-04-02 02:38:07,True
u31,HomeMobility,2013-04-02 02:58:07,True
u31,HomeMobility,2013-04-02 03:18:07,True
u31,HomeMobility,2013-04-02 03:38:07,True
u31,HomeMobility,2013-04-02 03:58:07,True
u31,HomeMobility,2013-04-02 04:18:07,True
u31,HomeMobility,2013-04-02 04:38:07,True
u31,HomeMobility,2013-04-02 04:58:07,True
u31,HomeMobility,2013-04-02 05:18:07,True
u31,HomeMobility,2013-04-02 05:38:07,True
u31,HomeMobility,2013-04-02 05:58:07,True
u31,HomeMobility,2013-04-02 06:18:00,True
u31,HomeMobility,2013-04-02 06:38:11,True
u31,HomeMobility,2013-04-02 06:58:10,True
u31,HomeMobility,2013-04-02 07:18:07,True
u31,HomeMobility,2013-04-02 07:38:07,True
u31,HomeMobility,2013-04-02 07:58:07,True
u31,HomeMobility,2013-04-02 08:17:51,True
u31,HomeMobility,2013-04-02 08:38:07,True
u31,HomeMobility,2013-04-02 08:58:07,True
u31,HomeMobility,2013-04-02 09:17:47,True
u31,HomeMobility,2013-04-02 09:38:07,True
u31,HomeMobility,2013-04-02 09:58:12,True
u31,HomeMobility,2013-04-02 10:18:07,True
u31,HomeMobility,2013-04-02 10:38:12,True
u31,HomeMobility,2013-04-02 10:58:07,True
u31,HomeMobility,2013-04-02 11:18:10,True
u31,HomeMobility,2013-04-02 11:38:07,True
u31,HomeMobility,2013-04-02 11:58:07,True
u31,HomeMobility,2013-04-02 12:18:07,True
u31,HomeMobility,2013-04-02 12:38:07,True
u31,HomeMobility,2013-04-02 12:56:38,True
u31,HomeMobility,2013-04-02 13:18:12,True
u31,HomeMobility,2013-04-02 13:38:11,False
u31,HomeMobility,2013-04-02 13:58:07,False
u31,HomeMobility,2013-04-02 14:18:07,False
u31,HomeMobility,2013-04-02 14:38:07,False
u31,HomeMobility,2013-04-02 14:58:07,False
u31,HomeMobility,2013-04-02 15:18:07,False
u31,HomeMobility,2013-04-02 15:38:07,False
