uid,typeEvent,inference,startDate,endDate,duration
u08,Physical activity,0,2013-03-28 11:38:05,2013-03-28 11:38:13,8
u08,Physical activity,3,2013-03-28 11:38:18,2013-03-28 11:38:41,23
u08,Physical activity,1,2013-03-28 11:41:42,2013-03-28 11:41:42,0
u08,Physical activity,2,2013-03-28 11:41:45,2013-03-28 11:53:48,723
u08,Physical activity,1,2013-03-28 11:53:50,2013-03-28 11:54:32,42
u08,Physical activity,0,2013-03-28 11:54:34,2013-03-28 12:53:52,3558
u08,Physical activity,2,2013-03-28 12:53:54,2013-03-28 12:58:08,254
u08,Physical activity,1,2013-03-28 12:58:11,2013-03-28 12:58:37,26
u08,Physical activity,2,2013-03-28 12:58:40,2013-03-28 13:02:03,203
u08,Physical activity,1,2013-03-28 13:02:06,2013-03-28 13:02:06,0
u08,Physical activity,0,2013-03-28 13:02:08,2013-03-28 13:02:08,0
u08,Physical activity,1,2013-03-28 13:02:11,2013-03-28 13:02:11,0
u08,Physical activity,0,2013-03-28 13:02:19,2013-03-28 13:02:19,0
u08,Physical activity,1,2013-03-28 13:02:21,2013-03-28 13:02:21,0
u08,Physical activity,0,2013-03-28 13:02:24,2013-03-28 13:02:24,0
u08,Physical activity,1,2013-03-28 13:02:26,2013-03-28 13:05:53,207
u08,Physical activity,0,2013-03-28 13:06:06,2013-03-28 14:02:41,3395
u08,Physical activity,2,2013-03-28 14:02:44,2013-03-28 14:06:23,219
u08,Physical activity,1,2013-03-28 14:06:26,2013-03-28 14:06:26,0
u08,Physical activity,2,2013-03-28 14:06:28,2013-03-28 14:09:48,200
u08,Physical activity,0,2013-03-28 14:09:51,2013-03-28 15:37:51,5280
u08,Physical activity,1,2013-03-28 15:37:54,2013-03-28 15:42:19,265
u08,Physical activity,2,2013-03-28 15:42:21,2013-03-28 15:42:32,11
u08,Physical activity,1,2013-03-28 15:42:34,2013-03-28 15:45:51,197
u08,Physical activity,0,2013-03-28 15:45:53,2013-03-28 15:46:11,18
u08,Physical activity,1,2013-03-28 15:46:14,2013-03-28 15:46:19,5
u08,Physical activity,0,2013-03-28 15:46:21,2013-03-28 15:46:27,6
u08,Physical activity,1,2013-03-28 15:46:29,2013-03-28 15:49:55,206
u08,Physical activity,0,2013-03-28 15:49:58,2013-03-28 17:50:28,7230
u08,Physical activity,3,2013-03-28 17:50:31,2013-03-28 17:50:31,0
u08,Physical activity,1,2013-03-28 17:50:34,2013-03-28 17:53:51,197
u08,Physical activity,0,2013-03-28 17:53:54,2013-03-28 18:01:51,477
u08,Physical activity,3,2013-03-28 18:01:54,2013-03-28 18:02:04,10
u08,Physical activity,0,2013-03-28 18:02:07,2013-03-28 18:06:01,234
u08,Physical activity,3,2013-03-28 18:06:04,2013-03-28 18:06:04,0
u08,Physical activity,0,2013-03-28 18:06:06,2013-03-28 18:06:30,24
u08,Physical activity,3,2013-03-28 18:06:32,2013-03-28 18:06:32,0
u08,Physical activity,0,2013-03-28 18:06:35,2013-03-28 18:14:03,448
u08,Physical activity,1,2013-03-28 18:14:16,2013-03-28 18:18:17,241
u08,Physical activity,2,2013-03-28 18:18:19,2013-03-28 18:21:55,216
u08,Physical activity,1,2013-03-28 18:21:58,2013-03-28 18:22:37,39
u08,Physical activity,2,2013-03-28 18:22:39,2013-03-28 18:22:42,3
u08,Physical activity,1,2013-03-28 18:22:44,2013-03-28 18:22:44,0
u08,Physical activity,2,2013-03-28 18:22:47,2013-03-28 18:22:47,0
u08,Physical activity,1,2013-03-28 18:22:49,2013-03-28 18:26:09,200
u08,Physical activity,0,2013-03-28 18:26:11,2013-03-28 18:26:11,0
u08,Physical activity,1,2013-03-28 18:26:14,2013-03-28 18:26:45,31
u08,Physical activity,0,2013-03-28 18:26:47,2013-03-28 18:30:16,209
u08,Physical activity,1,2013-03-28 18:30:18,2013-03-28 18:30:26,8
u08,Physical activity,2,2013-03-28 18:30:29,2013-03-28 18:30:39,10
u08,Physical activity,1,2013-03-28 18:30:42,2013-03-28 18:33:53,191
u08,Physical activity,0,2013-03-28 18:33:56,2013-03-28 18:50:00,964
u08,Physical activity,2,2013-03-28 18:50:02,2013-03-28 18:54:10,248
u08,Physical activity,1,2013-03-28 18:54:28,2013-03-28 18:57:57,209
u08,Physical activity,0,2013-03-28 18:57:59,2013-03-28 19:14:31,992
u08,Physical activity,3,2013-03-28 19:14:34,2013-03-28 19:14:41,7
u08,Physical activity,0,2013-03-28 19:14:44,2013-03-28 19:26:08,684
u08,Physical activity,1,2013-03-28 19:26:11,2013-03-28 19:26:18,7
u08,Physical activity,0,2013-03-28 19:26:21,2013-03-28 21:01:58,5737
u08,Physical activity,1,2013-03-28 21:02:01,2013-03-28 21:02:40,39
u08,Physical activity,0,2013-03-28 21:02:42,2013-03-28 21:02:52,10
u08,Physical activity,3,2013-03-28 21:05:55,2013-03-28 21:05:55,0
u08,Physical activity,0,2013-03-28 21:05:58,2013-03-29 00:13:59,11281
u08,Physical activity,2,2013-03-29 00:14:02,2013-03-29 00:18:38,276
u08,Physical activity,1,2013-03-29 00:18:40,2013-03-29 00:18:43,3
u08,Physical activity,3,2013-03-29 00:18:45,2013-03-29 00:18:45,0
u08,Physical activity,1,2013-03-29 00:18:48,2013-03-29 00:22:01,193
u08,Physical activity,0,2013-03-29 00:22:04,2013-03-29 02:41:11,8347
u08,Physical activity,3,2013-03-29 02:41:14,2013-03-29 02:41:22,8
u08,Physical activity,1,2013-03-29 02:41:24,2013-03-29 02:44:51,207
u08,Physical activity,0,2013-03-29 02:44:54,2013-03-29 09:41:39,25005
u08,Physical activity,1,2013-03-29 09:41:42,2013-03-29 09:41:42,0
u08,Physical activity,0,2013-03-29 09:41:44,2013-03-29 09:41:49,5
u08,Physical activity,1,2013-03-29 09:41:52,2013-03-29 09:41:52,0
u08,Physical activity,0,2013-03-29 09:41:54,2013-03-29 09:41:54,0
u08,Physical activity,1,2013-03-29 09:41:57,2013-03-29 09:45:36,219
u08,Physical activity,2,2013-03-29 09:45:39,2013-03-29 09:46:07,28
u08,Physical activity,1,2013-03-29 09:49:10,2013-03-29 09:49:10,0
u08,Physical activity,2,2013-03-29 09:49:13,2013-03-29 09:53:13,240
u08,Physical activity,1,2013-03-29 09:53:15,2013-03-29 09:53:33,18
u08,Physical activity,0,2013-03-29 09:53:36,2013-03-29 11:13:16,4780
u08,Physical activity,1,2013-03-29 11:13:18,2013-03-29 11:17:15,237
u08,Physical activity,0,2013-03-29 11:17:18,2013-03-29 12:21:31,3853
u08,Physical activity,3,2013-03-29 12:21:34,2013-03-29 12:21:47,13
u08,Physical activity,0,2013-03-29 12:21:49,2013-03-29 12:25:18,209
u08,Physical activity,1,2013-03-29 12:25:20,2013-03-29 12:33:28,488
u08,Physical activity,0,2013-03-29 12:33:31,2013-03-29 12:33:31,0
u08,Physical activity,3,2013-03-29 12:33:33,2013-03-29 12:34:12,39
u08,Physical activity,1,2013-03-29 12:37:15,2013-03-29 12:37:31,16
u08,Physical activity,0,2013-03-29 12:37:36,2013-03-29 12:37:36,0
u08,Physical activity,1,2013-03-29 12:37:41,2013-03-29 12:37:54,13
u08,Physical activity,3,2013-03-29 12:37:57,2013-03-29 12:38:02,5
u08,Physical activity,1,2013-03-29 12:38:07,2013-03-29 12:41:18,191
u08,Physical activity,0,2013-03-29 12:41:20,2013-03-29 12:41:43,23
u08,Physical activity,3,2013-03-29 12:41:46,2013-03-29 12:41:49,3
u08,Physical activity,1,2013-03-29 12:41:51,2013-03-29 12:41:51,0
u08,Physical activity,0,2013-03-29 12:41:57,2013-03-29 12:41:57,0
u08,Physical activity,1,2013-03-29 12:42:02,2013-03-29 12:45:18,196
u08,Physical activity,0,2013-03-29 12:45:20,2013-03-29 12:45:23,3
u08,Physical activity,1,2013-03-29 12:45:25,2013-03-29 12:45:43,18
u08,Physical activity,0,2013-03-29 12:45:46,2013-03-29 12:46:06,20
u08,Physical activity,1,2013-03-29 12:46:09,2013-03-29 12:50:06,237
u08,Physical activity,0,2013-03-29 12:50:09,2013-03-29 12:50:14,5
u08,Physical activity,1,2013-03-29 12:53:17,2013-03-29 12:53:24,7
u08,Physical activity,0,2013-03-29 12:53:27,2013-03-29 12:53:32,5
u08,Physical activity,1,2013-03-29 12:53:35,2013-03-29 12:57:27,232
u08,Physical activity,3,2013-03-29 12:57:29,2013-03-29 12:57:34,5
u08,Physical activity,0,2013-03-29 12:57:37,2013-03-29 12:58:08,31
u08,Physical activity,3,2013-03-29 12:58:10,2013-03-29 12:58:13,3
u08,Physical activity,0,2013-03-29 13:01:15,2013-03-29 13:06:01,286
u08,Physical activity,3,2013-03-29 13:06:04,2013-03-29 13:06:04,0
u08,Physical activity,0,2013-03-29 13:06:07,2013-03-29 13:09:15,188
u08,Physical activity,1,2013-03-29 13:09:18,2013-03-29 13:09:26,8
u08,Physical activity,2,2013-03-29 13:09:28,2013-03-29 13:09:33,5
u08,Physical activity,1,2013-03-29 13:09:36,2013-03-29 13:09:36,0
u08,Physical activity,2,2013-03-29 13:09:39,2013-03-29 13:09:39,0
